num_layers,layer_size,activation,learning_rate,accuracy,precision,recall
1,500,relu,0.001,0.5334799608993157,0.47885572139303484,0.41825095057034223
1,500,relu,0.01,0.5276148582600195,0.4676056338028169,0.36067354698533405
1,500,relu,0.1,0.5449657869012707,0.48180242634315423,0.1510048886474742
1,500,elu,0.001,0.5232160312805474,0.46726190476190477,0.42639869636067357
1,500,elu,0.01,0.5163734115347018,0.4634533898305085,0.4752851711026616
1,500,elu,0.1,0.4687194525904203,0.4518647007805724,0.8489951113525258
1,500,tanh,0.001,0.5303030303030303,0.4739214423696072,0.3997827267789245
1,500,tanh,0.01,0.5163734115347018,0.4566582914572864,0.3948940793047257
1,500,tanh,0.1,0.5136852394916911,0.4458968772694263,0.33351439435089625
1,1000,relu,0.001,0.5383675464320625,0.4828571428571429,0.36719174361759915
1,1000,relu,0.01,0.531524926686217,0.4732394366197183,0.3650190114068441
1,1000,relu,0.1,0.5464320625610948,0.44360902255639095,0.03204780010863661
1,1000,elu,0.001,0.531524926686217,0.4767726161369193,0.4236827810972298
1,1000,elu,0.01,0.5075757575757576,0.4406548431105048,0.3508962520369365
1,1000,elu,0.1,0.4572336265884653,0.4489247311827957,0.9071156979902227
1,1000,tanh,0.001,0.5224828934506354,0.463618802318094,0.3910917979359044
1,1000,tanh,0.01,0.489980449657869,0.44052224371373305,0.4948397609994568
1,1000,tanh,0.1,0.5398338220918866,0.45661157024793386,0.1200434546442151
1,1500,relu,0.001,0.5356793743890518,0.4787616990640749,0.3612167300380228
1,1500,relu,0.01,0.5285923753665689,0.4663093415007657,0.33079847908745247
1,1500,relu,0.1,0.5439882697947214,0.43455497382198954,0.045084193373166756
1,1500,elu,0.001,0.5276148582600195,0.470013037809648,0.3916349809885932
1,1500,elu,0.01,0.5149071358748778,0.44871794871794873,0.34220532319391633
1,1500,elu,0.1,0.477761485826002,0.4488243430152144,0.7050516023900054
1,1500,tanh,0.001,0.5212609970674487,0.46326276463262767,0.40412819120043453
1,1500,tanh,0.01,0.49242424242424243,0.43502202643171806,0.42911461162411735
1,1500,tanh,0.1,0.500733137829912,0.4514423076923077,0.510048886474742
2,500,relu,0.001,0.5166177908113392,0.4659711872826627,0.5095057034220533
2,500,relu,0.01,0.5134408602150538,0.4550359712230216,0.41227593699076587
2,500,relu,0.1,0.5500977517106549,0.0,0.0
2,500,elu,0.001,0.522238514173998,0.4664310954063604,0.43020097772949484
2,500,elu,0.01,0.5554740957966764,0.56875,0.049429657794676805
2,500,elu,0.1,0.5500977517106549,0.0,0.0
2,500,tanh,0.001,0.5217497556207233,0.4683406113537118,0.4660510592069527
2,500,tanh,0.01,0.5371456500488758,0.46589446589446587,0.1966322650733297
2,500,tanh,0.1,0.5500977517106549,0.5,0.0010863661053775121
2,1000,relu,0.001,0.5212609970674487,0.468482905982906,0.4763715372080391
2,1000,relu,0.01,0.522238514173998,0.46122448979591835,0.36827810972297664
2,1000,relu,0.1,0.5500977517106549,0.0,0.0
2,1000,elu,0.001,0.5149071358748778,0.466728280961183,0.5486148832156437
2,1000,elu,0.01,0.5500977517106549,0.0,0.0
2,1000,elu,0.1,0.5498533724340176,0.0,0.0
2,1000,tanh,0.001,0.5146627565982405,0.45587340231284235,0.4068441064638783
2,1000,tanh,0.01,0.4726295210166178,0.45518801243992085,0.8745247148288974
2,1000,tanh,0.1,0.4525904203323558,0.4495830174374526,0.9663226507332972
2,1500,relu,0.001,0.5166177908113392,0.4590065828845003,0.41662140141227594
2,1500,relu,0.01,0.5117302052785924,0.45848757271285034,0.47093970668115154
2,1500,relu,0.1,0.5500977517106549,0.0,0.0
2,1500,elu,0.001,0.5019550342130987,0.458280389665396,0.5877240630092341
2,1500,elu,0.01,0.5244379276637341,0.43558282208588955,0.1928299837045084
2,1500,elu,0.1,0.44916911045943303,0.44949865492785523,0.9983704508419338
2,1500,tanh,0.001,0.5134408602150538,0.46253746253746253,0.5029875067897882
2,1500,tanh,0.01,0.5520527859237536,0.5338983050847458,0.034220532319391636
2,1500,tanh,0.1,0.4863147605083089,0.456973293768546,0.752851711026616
4,500,relu,0.001,0.5039100684261975,0.45239294710327455,0.48777838131450296
4,500,relu,0.01,0.5500977517106549,0.0,0.0
4,500,relu,0.1,0.5500977517106549,0.0,0.0
4,500,elu,0.001,0.5139296187683284,0.46113445378151263,0.47691472026072784
4,500,elu,0.01,0.44990224828934505,0.44990224828934505,1.0
4,500,elu,0.1,0.5500977517106549,0.0,0.0
4,500,tanh,0.001,0.5303030303030303,0.47121535181236673,0.3601303639326453
4,500,tanh,0.01,0.47043010752688175,0.4485479797979798,0.7718631178707225
4,500,tanh,0.1,0.5498533724340176,0.0,0.0
4,1000,relu,0.001,0.5266373411534702,0.4745762711864407,0.4866920152091255
4,1000,relu,0.01,0.5500977517106549,0.0,0.0
4,1000,relu,0.1,0.5500977517106549,0.0,0.0
4,1000,elu,0.001,0.5359237536656891,0.47128712871287126,0.2585551330798479
4,1000,elu,0.01,0.5500977517106549,0.0,0.0
4,1000,elu,0.1,0.5500977517106549,0.0,0.0
4,1000,tanh,0.001,0.5227272727272727,0.4685746352413019,0.45355784899511137
4,1000,tanh,0.01,0.479227761485826,0.448690728945506,0.6887561108093427
4,1000,tanh,0.1,0.5500977517106549,0.0,0.0
4,1500,relu,0.001,0.5303030303030303,0.4637421665174575,0.2813688212927757
4,1500,relu,0.01,0.5500977517106549,0.0,0.0
4,1500,relu,0.1,0.44990224828934505,0.44990224828934505,1.0
4,1500,elu,0.001,0.541544477028348,0.4377224199288256,0.066811515480717
4,1500,elu,0.01,0.5500977517106549,0.0,0.0
4,1500,elu,0.1,0.5500977517106549,0.0,0.0
4,1500,tanh,0.001,0.5019550342130987,0.4482939632545932,0.46387832699619774
4,1500,tanh,0.01,0.5241935483870968,0.45904173106646057,0.32265073329712113
4,1500,tanh,0.1,0.4689638318670577,0.43819806403574085,0.639326453014666
